# metric=composite min_problems=100 companies=47
Amazon,Bloomberg,0.993212
Bloomberg,Microsoft,0.992447
Adobe,Apple,0.991919
Amazon,Apple,0.991600
Amazon,Microsoft,0.991494
Apple,Yahoo,0.990385
Apple,Bloomberg,0.990324
Samsung,eBay,0.989373
TikTok,Uber,0.988635
TikTok,eBay,0.988095
Apple,Microsoft,0.987998
Oracle,Walmart Labs,0.987977
Bloomberg,Oracle,0.987952
Apple,Oracle,0.987485
Google,Microsoft,0.986686
Adobe,Yahoo,0.986510
Salesforce,ServiceNow,0.986171
Amazon,Google,0.985791
Amazon,Oracle,0.984831
ServiceNow,Walmart Labs,0.984230
Accenture,tcs,0.983136
Microsoft,Oracle,0.982450
Bloomberg,Google,0.982310
Apple,Google,0.981831
Bloomberg,Yahoo,0.981405
Apple,Meta,0.980814
Google,Oracle,0.980691
Samsung,TikTok,0.979934
Bloomberg,Nvidia,0.979691
Microsoft,Yahoo,0.979521
Apple,Walmart Labs,0.979257
TikTok,Walmart Labs,0.979253
Amazon,ByteDance,0.979024
Oracle,Salesforce,0.978902
Salesforce,Walmart Labs,0.978376
Adobe,Amazon,0.978195
Adobe,Meta,0.977899
Citadel,Samsung,0.977386
Amazon,Nvidia,0.977111
Amazon,Yahoo,0.976603
Nvidia,Oracle,0.976337
Samsung,Uber,0.976104
Snowflake,TikTok,0.975941
Adobe,Bloomberg,0.975659
Intuit,ServiceNow,0.975315
Nutanix,Walmart Labs,0.975277
Uber,eBay,0.973904
Citadel,TikTok,0.973609
Meta,Walmart Labs,0.973526
Oracle,Yahoo,0.973216
Uber,Wix,0.973193
Oracle,TikTok,0.972891
Meta,TikTok,0.972715
Oracle,ServiceNow,0.972695
Flipkart,PhonePe,0.972685
ByteDance,Nvidia,0.972664
Amazon,Walmart Labs,0.972660
Adobe,Microsoft,0.972178
Google,Meta,0.972043
Samsung,Wix,0.971849
Citadel,eBay,0.971675
Apple,Nvidia,0.971403
Atlassian,PayPal,0.970417
Airbnb,Uber,0.970337
Nutanix,TikTok,0.970152
Uber,Walmart Labs,0.969975
Meta,Uber,0.969883
Salesforce,TikTok,0.969645
Airbnb,Citadel,0.969455
Citadel,Uber,0.969429
Meta,Oracle,0.968670
ByteDance,Oracle,0.968583
Amazon,Uber,0.968491
Salesforce,Yandex,0.968448
Google,TikTok,0.968323
Microsoft,Nvidia,0.968089
Apple,Uber,0.967941
Bloomberg,Walmart Labs,0.967853
Airbnb,Snap,0.967836
DoorDash,Snap,0.967681
Bloomberg,ByteDance,0.967645
Apple,TikTok,0.967078
Meta,Yahoo,0.966742
IBM,Infosys,0.966638
Google,Nvidia,0.966633
Nutanix,Snap,0.966262
Meta,Yandex,0.966002
Adobe,Google,0.965839
Google,Uber,0.965762
Amazon,TikTok,0.965586
Oracle,Yandex,0.965538
Adobe,Oracle,0.965020
Google,Yahoo,0.964812
Walmart Labs,Yahoo,0.964674
ServiceNow,TikTok,0.964433
Snowflake,Uber,0.964118
Goldman Sachs,PayPal,0.963966
Salesforce,eBay,0.963920
Nutanix,ServiceNow,0.963920
LinkedIn,Meta,0.963715
Adobe,Uber,0.963696
Amazon,Meta,0.963434
Citadel,DoorDash,0.963371
Intuit,Walmart Labs,0.963122
ByteDance,Walmart Labs,0.963058
Accenture,Infosys,0.962842
Wix,eBay,0.962738
Intuit,Oracle,0.962654
Goldman Sachs,Roblox,0.962598
Capital One,Cisco,0.962507
DE Shaw,PayPal,0.962360
Walmart Labs,eBay,0.962342
ByteDance,X,0.962342
Intuit,Salesforce,0.962326
Roblox,Zoho,0.962228
Microsoft,Walmart Labs,0.962057
Adobe,Walmart Labs,0.961755
Citadel,Snowflake,0.961627
Meta,Samsung,0.961406
Nutanix,eBay,0.961358
Salesforce,Samsung,0.961095
Goldman Sachs,Infosys,0.961017
Infosys,J.P. Morgan,0.960987
TikTok,Wix,0.960508
Goldman Sachs,Microsoft,0.960389
Bloomberg,Meta,0.960033
Infosys,tcs,0.960032
Meta,Microsoft,0.959919
LinkedIn,Snowflake,0.959917
Amazon,Cisco,0.959881
Nutanix,Uber,0.959854
Nvidia,Yahoo,0.959522
Google,Yandex,0.959504
Google,Walmart Labs,0.959466
Oracle,Uber,0.959342
Meta,Snowflake,0.959216
Goldman Sachs,Zoho,0.958909
Oracle,eBay,0.958831
Airbnb,Wix,0.958504
Flipkart,Salesforce,0.958411
Apple,ByteDance,0.958385
Amazon,Salesforce,0.958283
Snowflake,Walmart Labs,0.957696
ByteDance,Microsoft,0.957589
Intuit,Snap,0.957388
Apple,Yandex,0.957245
DE Shaw,Flipkart,0.957088
Bloomberg,Yandex,0.957076
DE Shaw,PhonePe,0.956900
Apple,Salesforce,0.956828
Google,Salesforce,0.956565
Nvidia,X,0.956540
Bloomberg,Salesforce,0.956361
Meta,eBay,0.956304
IBM,J.P. Morgan,0.956293
Capital One,Roblox,0.956233
Intuit,Nutanix,0.956172
Meta,Salesforce,0.956153
Cisco,Goldman Sachs,0.956107
Samsung,Walmart Labs,0.956091
Microsoft,TikTok,0.956039
Meta,Wix,0.955543
Citadel,Wix,0.955336
Yandex,eBay,0.954848
Citadel,Snap,0.954836
Bloomberg,Cisco,0.954128
ByteDance,Google,0.954096
Snowflake,eBay,0.953913
Airbnb,X,0.953482
ByteDance,Intuit,0.953263
Microsoft,Salesforce,0.953207
Airbnb,Samsung,0.953184
Microsoft,Yandex,0.953166
Goldman Sachs,Google,0.953037
Google,Intuit,0.953031
Airbnb,DoorDash,0.952894
Flipkart,ServiceNow,0.952861
Bloomberg,Goldman Sachs,0.952790
Google,eBay,0.952756
Oracle,Visa,0.952654
DoorDash,Samsung,0.952436
ServiceNow,eBay,0.952423
Coupang,Snap,0.952395
Nutanix,Samsung,0.952389
Oracle,Samsung,0.952379
Visa,eBay,0.952308
Intuit,TikTok,0.952209
ByteDance,ServiceNow,0.952141
Amazon,Goldman Sachs,0.951823
Adobe,Nvidia,0.951653
Google,Samsung,0.951596
Nutanix,Salesforce,0.951542
Samsung,Snowflake,0.951542
Cisco,Microsoft,0.951534
Oracle,Snowflake,0.951352
DE Shaw,Roblox,0.951225
ByteDance,Cisco,0.951203
PayPal,Roblox,0.951199
Airbnb,TikTok,0.950623
Nutanix,Oracle,0.950472
Salesforce,Snowflake,0.950315
Microsoft,Uber,0.950295
Adobe,TikTok,0.950171
Walmart Labs,Yandex,0.949585
Google,Visa,0.949262
Amazon,ServiceNow,0.948671
DoorDash,eBay,0.948646
Uber,X,0.948515
Bloomberg,Visa,0.948301
Apple,Snowflake,0.948291
Cisco,Zoho,0.948071
Snap,TikTok,0.948039
Uber,Visa,0.948024
ByteDance,TikTok,0.947981
Salesforce,Uber,0.947916
Amazon,Visa,0.947915
TikTok,Yandex,0.947900
Amazon,X,0.947568
Bloomberg,TikTok,0.947553
Citadel,Nutanix,0.947520
Nutanix,Snowflake,0.947497
Meta,ServiceNow,0.947313
IBM,PayPal,0.947306
Capital One,Visa,0.947281
Apple,ServiceNow,0.947119
ByteDance,Salesforce,0.947044
Microsoft,Visa,0.946828
PhonePe,Salesforce,0.946796
Flipkart,Nutanix,0.946494
ServiceNow,Yandex,0.946347
Snowflake,Wix,0.946281
Cisco,Visa,0.946254
Atlassian,IBM,0.946247
Goldman Sachs,Oracle,0.946226
Bloomberg,Uber,0.946192
ByteDance,Uber,0.946099
Snowflake,X,0.945999
Airbnb,eBay,0.945992
Nvidia,Walmart Labs,0.945817
Bloomberg,ServiceNow,0.945079
Microsoft,ServiceNow,0.944769
Goldman Sachs,IBM,0.944721
Samsung,Yandex,0.944690
Snap,Uber,0.944616
Amazon,Yandex,0.944502
Coupang,PhonePe,0.943903
PhonePe,eBay,0.943890
DoorDash,Pinterest,0.943874
Coupang,Intuit,0.943839
Amazon,eBay,0.943592
Goldman Sachs,Salesforce,0.943376
Coupang,TikTok,0.943312
Coupang,eBay,0.943298
Apple,eBay,0.943255
TikTok,Visa,0.943224
ByteDance,Nutanix,0.943216
Apple,Samsung,0.943182
Amazon,Intuit,0.943095
Intuit,eBay,0.943064
Amazon,Samsung,0.942870
Google,Snowflake,0.942525
DoorDash,Wix,0.942417
Airbnb,Nutanix,0.942323
Citadel,Coupang,0.941982
Flipkart,Samsung,0.941592
