# metric=composite min_problems=50 companies=81
Bloomberg,Microsoft,0.996242
Amazon,Bloomberg,0.993753
Amazon,Microsoft,0.993523
Apple,Bloomberg,0.993224
Amazon,Apple,0.992287
Adobe,Apple,0.992219
Apple,Yahoo,0.991713
Oracle,Walmart Labs,0.991380
TikTok,eBay,0.990877
Apple,Microsoft,0.990474
TikTok,Uber,0.989561
Samsung,TikTok,0.989306
Apple,Oracle,0.989218
Amazon,Google,0.988042
Adobe,Yahoo,0.987933
Bloomberg,Yahoo,0.987690
Samsung,eBay,0.987119
Amazon,Oracle,0.986750
Google,Microsoft,0.986621
Salesforce,ServiceNow,0.986453
Samsung,Uber,0.986229
Apple,Google,0.985002
ServiceNow,Walmart Labs,0.984416
Bloomberg,Oracle,0.984166
Microsoft,Oracle,0.983803
Microsoft,Yahoo,0.983686
Bloomberg,Google,0.983441
TikTok,Walmart Labs,0.983277
Apple,Meta,0.982983
Accenture,tcs,0.982191
Adobe,Meta,0.981892
Google,Oracle,0.981646
Samsung,Wix,0.981347
Apple,Walmart Labs,0.981291
Amazon,Nvidia,0.980665
Anduril,DoorDash,0.979729
Adobe,Amazon,0.979689
Morgan Stanley,Swiggy,0.979299
Uber,eBay,0.979078
Salesforce,Walmart Labs,0.979073
Nvidia,Oracle,0.979006
Amazon,SAP,0.978908
Adobe,Bloomberg,0.978906
Oracle,TikTok,0.978826
Amazon,Yahoo,0.978713
Bloomberg,Nvidia,0.978469
Oracle,Salesforce,0.978223
Microsoft,SAP,0.977830
Google,SAP,0.977621
Amazon,ByteDance,0.977008
ByteDance,Nvidia,0.976972
Flipkart,PhonePe,0.976746
Adobe,Microsoft,0.976726
Bloomberg,SAP,0.976445
Citadel,Samsung,0.976412
Goldman Sachs,PayPal,0.976341
DoorDash,Snap,0.976100
Snowflake,TikTok,0.975741
Amazon,Walmart Labs,0.975485
Oracle,Yahoo,0.975482
Meta,Walmart Labs,0.975203
Oracle,ServiceNow,0.975150
Nutanix,TikTok,0.975089
Apple,Nvidia,0.974287
Uber,Wix,0.974256
Anduril,Snap,0.974253
Oracle,Tesla,0.974239
Oracle,SAP,0.974182
Intuit,Tesla,0.973984
Google,Meta,0.972783
Citadel,TikTok,0.972724
Meta,Yahoo,0.972604
Tesla,Walmart Labs,0.972512
Adobe,Google,0.972393
Microsoft,Nvidia,0.972304
Salesforce,TikTok,0.972246
Google,Nvidia,0.972052
ByteDance,Oracle,0.971976
Airbnb,Snap,0.971205
Meta,Oracle,0.970814
Nutanix,Walmart Labs,0.970785
Airbnb,Citadel,0.970615
TikTok,Zepto,0.970563
ByteDance,Tesla,0.970563
Google,Yahoo,0.970525
Uber,Walmart Labs,0.970084
Goldman Sachs,SAP,0.970078
